id,lng,lat
795,-2.977239,51.127113
796,-2.977089,53.406397
797,-2.976129,53.491269
798,-2.976099,51.353242
799,-2.975770,51.334400
800,-2.974972,51.589870
801,-2.974592,53.168099
802,-2.974505,51.583552
803,-2.971895,53.046881
804,-2.971615,53.483698
805,-2.971021,52.823922
806,-2.970775,53.420580
807,-2.970387,53.061016
808,-2.969397,51.599524
809,-2.969220,51.346850
810,-2.969102,53.917625
811,-2.969097,53.312281
812,-2.968976,53.441319
813,-2.968432,53.648419
814,-2.968021,53.397327
815,-2.967126,52.424151
816,-2.966425,51.175007
817,-2.966364,51.615833
818,-2.966246,53.387150
819,-2.965632,53.462238
820,-2.965540,54.887390
821,-2.964814,53.664630
822,-2.964725,50.871956
823,-2.964413,51.334697
824,-2.963579,51.322364
825,-2.963257,53.453281
826,-2.962767,53.429209
827,-2.962045,53.379296
828,-2.961713,53.088726
829,-2.961637,53.444615
830,-2.961545,54.428422
831,-2.961146,52.028209
832,-2.960745,55.008517
833,-2.958229,53.405972
834,-2.956122,50.878552
835,-2.954539,53.673155
836,-2.953935,53.740204
837,-2.953810,53.420714
838,-2.953129,53.467106
839,-2.952930,53.821784
840,-2.952611,53.485833
841,-2.952464,51.581786
842,-2.952334,54.889351
843,-2.951417,53.388222
844,-2.950771,53.226057
845,-2.950243,53.427827
846,-2.950184,53.394381
847,-2.949949,53.413138
848,-2.949031,53.525053
849,-2.948232,53.506353
850,-2.947379,51.593405
851,-2.946736,53.434780
852,-2.946621,54.913330
853,-2.946306,51.355468
854,-2.945321,50.859907
855,-2.944589,53.276959
856,-2.943942,53.604270
857,-2.943162,53.375168
858,-2.942501,53.447199
859,-2.939828,54.266230
860,-2.939442,53.414710
861,-2.934016,53.399906
862,-2.933503,53.509859
863,-2.933478,54.865783
864,-2.932899,53.280912
865,-2.932611,53.518746
866,-2.932237,53.288151
867,-2.931869,53.442645
868,-2.931667,54.185383
869,-2.931461,50.732302
870,-2.931359,53.394146
871,-2.931033,53.426710
872,-2.930517,53.379986
873,-2.930425,51.592172
874,-2.930268,53.201934
875,-2.929576,51.347977
876,-2.928999,54.883320
877,-2.927859,53.452942
878,-2.927286,54.875300
879,-2.926679,53.270150
880,-2.926495,53.468062
881,-2.925660,53.484433
882,-2.924963,51.358389
883,-2.924377,54.893241
884,-2.922730,54.908900
885,-2.921606,53.209326
886,-2.920435,53.433719
887,-2.919443,53.388821
888,-2.919421,53.261300
889,-2.919263,50.927437
890,-2.918672,53.417030
891,-2.917582,53.173086
892,-2.917433,53.274928
893,-2.916655,53.362169
894,-2.916282,51.368161
895,-2.914321,51.330555
896,-2.913741,53.380850
897,-2.913671,53.404952
898,-2.913323,53.444911
899,-2.912393,53.674369
900,-2.911529,53.369038
901,-2.909503,51.704026
902,-2.908786,53.414759
903,-2.906422,51.358374
904,-2.905296,53.390534
905,-2.905256,53.549835
906,-2.903330,53.477962
907,-2.902457,53.265883
908,-2.902371,53.453066
909,-2.901821,53.283475
910,-2.901575,54.371708
911,-2.901509,53.427184
912,-2.899757,54.880846
913,-2.899682,53.356426
914,-2.899128,52.907727
915,-2.898898,53.195963
916,-2.898046,53.403334
917,-2.893961,53.494111
918,-2.893802,53.365380
919,-2.892824,53.180133
920,-2.891923,53.437179
921,-2.891119,53.572711
922,-2.891102,51.131822
923,-2.890948,54.043812
924,-2.890837,51.600253
925,-2.889908,53.384248
926,-2.889506,53.271956
927,-2.888626,53.208224
928,-2.888420,53.419261
929,-2.886057,52.650010
930,-2.885853,53.400095
931,-2.883940,54.062830
932,-2.882882,53.785361
933,-2.881895,53.196659
934,-2.881472,53.478967
935,-2.881426,53.451430
936,-2.881093,51.010778
937,-2.880864,53.566328
938,-2.879757,53.751498
939,-2.877950,53.492964
940,-2.876916,53.430762
941,-2.875717,53.411134
942,-2.874658,53.211893
943,-2.874075,53.471380
944,-2.873118,53.419286
945,-2.872773,54.063485
946,-2.871948,53.347792
947,-2.868739,53.385881
948,-2.865102,53.193513
949,-2.864665,52.969448
950,-2.864564,53.869901
951,-2.863910,53.376103
952,-2.861824,53.392929
953,-2.861641,53.181694
954,-2.861439,53.434464
955,-2.860532,51.783027
956,-2.860117,53.200715
957,-2.859879,54.071577
958,-2.859735,53.423124
959,-2.858788,53.362507
960,-2.856199,51.428215
961,-2.856160,53.415743
962,-2.855688,51.435551
963,-2.855411,54.062044
964,-2.853155,53.772558
965,-2.849211,51.443765
966,-2.847195,53.371485
967,-2.846954,53.406279
968,-2.843248,53.598466
969,-2.841990,51.370403
970,-2.841462,53.423726
971,-2.841007,54.632505
972,-2.839377,51.236207
973,-2.839167,52.734898
974,-2.839150,53.693711
975,-2.838542,54.076260
976,-2.838067,53.387031
977,-2.837687,53.561877
978,-2.834842,53.342658
979,-2.834527,53.366251
980,-2.831791,53.358548
981,-2.830509,53.183622
982,-2.830368,53.419067
983,-2.829391,54.064099
984,-2.828866,53.406849
985,-2.821429,51.388684
986,-2.818983,51.582110
987,-2.818568,51.042179
988,-2.816474,54.897237
989,-2.816219,53.258028
990,-2.815479,51.326784
991,-2.814793,54.752806
992,-2.814748,50.949809
993,-2.813635,53.396407
994,-2.809772,54.043293
995,-2.802718,53.426383
996,-2.802547,53.549975
997,-2.802304,52.536936
998,-2.801806,54.061980
999,-2.801269,52.829467
1000,-2.799735,54.095790
1001,-2.798652,54.048298
1002,-2.798258,51.478360
1003,-2.798256,52.313438
1004,-2.796716,52.225509
1005,-2.796036,52.094070
1006,-2.795292,52.709671
1007,-2.794974,53.412530
1008,-2.793165,50.880339
1009,-2.792552,53.046504
1010,-2.791904,54.042545
1011,-2.791552,53.717110
1012,-2.789241,54.033519
1013,-2.788875,53.423709
1014,-2.788608,54.004833
1015,-2.786287,53.503702
1016,-2.786072,54.051717
1017,-2.783964,51.280260
1018,-2.782128,54.212813
1019,-2.779110,53.901839
1020,-2.778907,53.435333
1021,-2.776521,53.562310
1022,-2.776174,53.458440
1023,-2.775501,53.555308
1024,-2.774308,53.355718
1025,-2.772393,53.664916
1026,-2.771568,53.130711
1027,-2.771127,54.130351
1028,-2.770915,53.374341
1029,-2.769979,51.486399
1030,-2.769590,53.419850
1031,-2.768960,51.431298
1032,-2.768405,52.674361
1033,-2.768209,52.436748
